"Date","Price","Open","High","Low","Vol.","Change %"
"07-06-2024","3,816.11","3,812.95","3,818.85","3,793.28","239.39K","0.08%"
"06-06-2024","3,812.95","3,865.15","3,878.28","3,765.23","251.82K","-1.35%"
"05-06-2024","3,865.14","3,810.35","3,885.15","3,778.13","288.18K","1.44%"
"04-06-2024","3,810.35","3,767.10","3,831.41","3,743.11","247.96K","1.15%"
"03-06-2024","3,767.10","3,782.06","3,849.47","3,759.07","262.39K","-0.40%"
"02-06-2024","3,782.08","3,815.95","3,838.34","3,753.62","219.62K","-0.89%"
"01-06-2024","3,815.95","3,762.63","3,832.35","3,753.32","143.81K","1.42%"
"31-05-2024","3,762.66","3,747.89","3,844.96","3,724.57","294.56K","0.40%"
"30-05-2024","3,747.55","3,767.22","3,824.94","3,703.74","293.81K","-0.58%"
"29-05-2024","3,769.57","3,845.56","3,886.44","3,745.72","353.25K","-1.98%"
"28-05-2024","3,845.56","3,894.33","3,929.21","3,775.08","436.24K","-1.25%"
"27-05-2024","3,894.33","3,825.99","3,976.00","3,824.33","393.85K","1.79%"
"26-05-2024","3,826.02","3,749.28","3,881.62","3,733.77","313.07K","2.05%"
"25-05-2024","3,749.28","3,728.32","3,776.75","3,709.70","170.39K","0.57%"
"24-05-2024","3,728.21","3,785.61","3,829.13","3,635.18","514.00K","-1.52%"
"23-05-2024","3,785.65","3,739.07","3,941.42","3,645.49","1.19M","1.25%"
"22-05-2024","3,739.08","3,790.42","3,810.50","3,654.54","597.46K","-1.36%"
"21-05-2024","3,790.46","3,661.04","3,833.07","3,630.71","1.01M","3.53%"
"20-05-2024","3,661.07","3,072.07","3,679.47","3,048.33","899.51K","19.17%"
"19-05-2024","3,072.08","3,122.87","3,135.99","3,058.31","170.99K","-1.63%"
"18-05-2024","3,122.87","3,092.09","3,145.59","3,084.73","205.74K","0.97%"
"17-05-2024","3,092.75","2,944.99","3,116.65","2,933.39","369.55K","5.02%"
"16-05-2024","2,944.99","3,032.64","3,040.62","2,924.20","306.25K","-2.96%"
"15-05-2024","3,034.71","2,881.99","3,041.11","2,864.50","363.90K","5.30%"
"14-05-2024","2,881.99","2,951.01","2,958.94","2,866.00","279.49K","-2.34%"
"13-05-2024","2,951.01","2,929.36","2,993.23","2,865.08","381.30K","0.74%"
"12-05-2024","2,929.35","2,912.56","2,953.92","2,903.16","111.77K","0.58%"
"11-05-2024","2,912.56","2,909.86","2,943.58","2,889.62","144.62K","0.09%"
"10-05-2024","2,909.86","3,036.32","3,052.94","2,882.82","355.90K","-4.16%"
"09-05-2024","3,036.32","2,974.92","3,057.07","2,953.21","248.78K","2.06%"
"08-05-2024","2,974.94","3,006.32","3,036.79","2,941.71","283.76K","-1.04%"
"07-05-2024","3,006.36","3,062.03","3,128.32","3,004.04","315.01K","-1.82%"
"06-05-2024","3,062.03","3,136.40","3,220.04","3,048.65","377.37K","-2.37%"
"05-05-2024","3,136.40","3,117.14","3,170.63","3,074.55","229.16K","0.62%"
"04-05-2024","3,117.23","3,102.25","3,146.74","3,095.58","205.59K","0.48%"
"03-05-2024","3,102.25","2,987.11","3,125.81","2,958.98","381.95K","3.85%"
"02-05-2024","2,987.12","2,973.30","3,014.55","2,897.11","387.64K","0.47%"
"01-05-2024","2,973.27","3,014.38","3,023.06","2,819.19","672.37K","-1.36%"
"30-04-2024","3,014.41","3,216.85","3,250.44","2,927.77","591.88K","-6.28%"
"29-04-2024","3,216.29","3,261.72","3,286.75","3,119.56","438.13K","-1.39%"
"28-04-2024","3,261.69","3,255.57","3,347.45","3,250.66","318.13K","0.19%"
"27-04-2024","3,255.57","3,131.42","3,282.99","3,073.79","334.66K","3.98%"
"26-04-2024","3,130.90","3,155.83","3,165.94","3,104.77","263.09K","-0.79%"
"25-04-2024","3,155.83","3,141.03","3,189.11","3,078.65","369.13K","0.47%"
"24-04-2024","3,141.03","3,220.11","3,292.31","3,111.91","409.83K","-2.46%"
"23-04-2024","3,220.13","3,200.28","3,262.50","3,153.81","265.42K","0.61%"
"22-04-2024","3,200.62","3,147.84","3,233.84","3,130.24","306.74K","1.68%"
"21-04-2024","3,147.83","3,156.62","3,195.43","3,116.85","234.07K","-0.28%"
"20-04-2024","3,156.63","3,056.51","3,168.90","3,020.82","256.05K","3.29%"
"19-04-2024","3,056.23","3,064.49","3,122.51","2,871.82","645.65K","-0.27%"
"18-04-2024","3,064.48","2,985.82","3,089.53","2,955.31","423.99K","2.63%"
"17-04-2024","2,985.82","3,083.42","3,123.68","2,917.59","524.88K","-3.17%"
"16-04-2024","3,083.43","3,100.98","3,125.19","2,998.17","560.47K","-0.56%"
"15-04-2024","3,100.94","3,152.65","3,273.03","3,030.76","654.92K","-1.64%"
"14-04-2024","3,152.65","3,005.96","3,168.52","2,913.83","799.68K","4.93%"
